番号,REGゲーム数,REG枚数,ATゲーム数,AT枚数
315,476,0,17,46
316,505,0,99,281
317,505,0,309,893
318,89,0,135,392
319,248,0,186,539
320,95,0,114,332
321,97,0,0,0
322,121,0,218,628
323,98,0,143,412
324,90,0,0,0
325,289,0,270,786
326,390,0,85,245
327,97,0,0,0
328,259,0,387,1124
329,256,0,50,144
330,645,0,398,1161
331,96,0,0,0
332,556,0,120,350
333,231,0,72,206
334,99,0,17,45
335,488,0,19,52
336,752,0,86,258
337,393,0,14,36
338,179,0,17,46
339,80,0,0,0
340,269,0,0,0
341,213,0,104,303
342,58,0,0,0
343,188,0,142,410
344,286,0,0,0
345,778,0,0,0
346,90,0,15,40
347,41,0,385,1146
348,300,0,47,130
349,366,0,0,0
350,183,0,83,244
351,345,0,0,0
352,251,0,12,31
353,255,0,139,401
354,32,0,130,368
355,247,0,0,0
356,273,0,0,0
357,764,0,246,723
358,99,0,19,53
359,296,0,0,0
360,131,0,0,0
361,328,0,252,744
362,404,0,1052,3016
363,315,0,0,0
364,780,0,0,0
365,70,0,0,0
366,68,0,35,95
367,110,0,15,39
368,98,0,210,629
369,778,0,211,614
370,94,0,872,2479
371,188,0,14,38
372,220,0,0,0
373,253,0,0,0
374,150,0,0,0
375,132,0,335,986
376,107,0,0,0
377,247,0,0,0
378,155,0,261,754
379,249,0,0,0
380,779,0,545,1541
381,95,0,121,346
382,445,0,0,0
383,778,0,594,1724
384,176,0,131,376
385,84,0,2198,6279
386,98,0,0,0
387,193,0,0,0
388,77,0,0,0
389,199,0,281,815
390,363,0,0,0
391,341,0,122,357
392,335,0,22,62
393,471,0,154,447
394,254,0,318,928
395,53,0,105,300
396,194,0,113,327
397,561,0,26,74
398,97,0,0,0
399,344,0,0,0
400,120,0,0,0
401,194,0,151,444
402,590,0,49,141
403,737,0,106,245
404,752,0,558,1596
405,95,0,209,606
406,548,0,296,862
407,48,0,77,232
408,99,0,174,505
409,291,0,389,1134
410,240,0,48,140
411,58,0,341,990
412,778,0,270,780
413,778,0,0,0
414,58,0,0,0
415,448,0,117,347
416,778,0,0,0
417,370,0,148,428
418,783,0,53,155
419,338,0,113,335
420,250,0,97,275
421,97,0,186,543
422,318,0,172,497
423,231,0,88,258
424,412,0,694,2029
425,40,0,116,340
426,42,0,124,358
427,306,0,0,0
428,305,0,24,66
429,313,0,75,216
430,779,0,118,340
431,297,0,37,103
432,258,0,20,55
433,752,0,111,329
434,198,0,0,0
435,246,0,0,0
436,597,0,65,186
437,317,0,0,0
438,362,0,694,1962
439,70,0,20,54
440,30,0,146,424
441,256,0,479,1390
442,81,0,235,679
443,144,0,264,768
444,95,0,53,154
445,444,0,0,0
446,309,0,83,250
447,753,0,683,1964
448,188,0,0,0
449,780,0,387,1136
450,290,0,175,508
451,197,0,78,225
452,105,0,84,242
453,260,0,1517,4353
454,139,0,229,668
455,392,0,0,0
456,780,0,276,798
457,99,0,282,817
458,208,0,1621,4644
459,288,0,173,503
460,357,0,0,0
461,92,0,169,493
462,142,0,397,1149
463,97,0,21,57
464,636,0,88,255
465,132,0,238,695
466,442,0,0,0
467,330,0,0,0
468,170,0,26,74
469,752,0,86,257
470,752,0,237,693
471,46,0,0,0
472,166,0,147,426
473,779,0,124,361
474,779,0,0,0
475,505,0,289,846
476,288,0,369,1071
477,434,0,98,281
478,363,0,484,1398
479,83,0,55,153
480,182,0,113,329
481,147,0,0,0
482,778,0,0,0
483,359,0,306,892
484,37,0,0,0
485,219,0,77,222
486,187,0,253,729
487,99,0,90,269
488,419,0,432,1245
489,86,0,98,281
490,322,0,291,839
491,60,0,61,179
492,74,0,52,152
493,217,0,120,352
494,497,0,0,0
495,778,0,450,1268
496,292,0,0,0
497,778,0,69,196
498,98,0,0,0
499,116,0,140,403
500,311,0,82,246
501,96,0,69,195
502,588,0,54,158
503,97,0,101,289
504,206,0,84,251
505,317,0,128,363
506,238,0,142,405
507,634,0,47,133
508,383,0,55,159
509,752,0,207,609
510,784,0,163,468
511,96,0,81,233
512,100,0,171,502
513,63,0,469,1327
514,201,0,1082,3098
515,434,0,0,0
516,778,0,194,557
517,204,0,55,160
518,61,0,114,327
519,778,0,14,38
520,680,0,0,0
521,73,0,77,230
522,39,0,0,0
523,714,0,115,341
524,252,0,1207,3470
525,521,0,69,197
526,120,0,0,0
527,54,0,0,0
528,457,0,0,0
529,205,0,0,0
530,451,0,84,252
531,341,0,0,0
532,412,0,1670,4798
533,533,0,0,0
534,423,0,284,821
535,126,0,17,46
536,419,0,0,0
537,335,0,84,251
538,91,0,254,735
539,222,0,2607,7481
540,173,0,0,0
541,58,0,12,32
542,95,0,83,245
543,434,0,142,412
544,74,0,276,795
545,93,0,0,0
546,35,0,0,0
547,469,0,0,0
548,690,0,325,950
549,97,0,0,0
550,220,0,78,224
551,778,0,1800,5170
552,126,0,303,878
553,90,0,123,353
554,247,0,210,592
555,95,0,0,0
556,766,0,247,719
557,99,0,135,386
558,97,0,311,906
559,29,0,0,0
560,101,0,18,49
561,136,0,0,0
562,98,0,0,0
563,264,0,86,253
564,286,0,23,63
565,753,0,100,301
566,160,0,91,269
567,159,0,0,0
568,168,0,123,363
569,99,0,0,0
570,35,0,0,0
571,312,0,120,350
572,507,0,0,0
573,616,0,693,2023
574,97,0,0,0
575,256,0,273,792
576,354,0,0,0
577,399,0,81,244
578,437,0,75,217
579,778,0,0,0
580,506,0,84,251
581,73,0,366,1057
582,194,0,155,453
583,211,0,111,329
584,778,0,157,461
585,358,0,1322,3775
586,48,0,0,0
587,205,0,92,261
588,95,0,339,985
589,778,0,0,0
590,389,0,76,219
591,248,0,185,540
592,332,0,195,561
593,270,0,112,331
594,80,0,217,629
595,98,0,314,911
596,96,0,65,179
597,85,0,268,775
598,237,0,0,0
599,375,0,0,0
600,101,0,179,522
601,779,0,210,620
602,53,0,165,476
603,562,0,0,0
604,160,0,80,234
605,108,0,602,1697
606,778,0,0,0
607,240,0,0,0
608,266,0,590,1669
609,375,0,0,0
610,642,0,0,0
611,267,0,191,559
612,581,0,582,1692
613,177,0,0,0
614,778,0,0,0
615,157,0,0,0
616,173,0,104,307
617,203,0,0,0
618,439,0,67,195
619,752,0,311,913
620,749,0,0,0
621,537,0,143,426
622,180,0,1548,4440
623,545,0,0,0
624,473,0,159,456
625,308,0,0,0
626,779,0,0,0
627,198,0,236,694
628,468,0,53,153
629,47,0,138,400
630,285,0,0,0
631,282,0,54,158
632,150,0,330,952
633,255,0,1590,4539
634,316,0,0,0
635,424,0,203,529
636,314,0,70,200
637,213,0,277,808
638,435,0,338,985
639,61,0,106,308
640,519,0,276,802
641,69,0,0,0
642,14,0,15,39
643,181,0,92,266
644,97,0,0,0
645,120,0,104,309
646,53,0,101,287
647,96,0,498,1452
648,41,0,107,312
649,99,0,100,286
650,98,0,138,398
651,96,0,101,294
652,108,0,86,258
653,778,0,508,1480
654,778,0,0,0
655,505,0,87,261
656,96,0,90,264
657,235,0,0,0
658,289,0,0,0
659,230,0,116,342
660,88,0,52,150
661,134,0,0,0
662,549,0,249,724
663,472,0,0,0
664,85,0,17,47
665,158,0,676,1909
666,200,0,69,197
667,218,0,0,0
668,280,0,0,0
669,640,0,0,0
670,149,0,321,946
671,553,0,160,459
672,107,0,18,49
673,129,0,0,0
674,208,0,233,678
675,206,0,78,224
676,779,0,90,271
677,243,0,0,0
678,398,0,0,0
679,113,0,80,240
680,97,0,18,49
681,281,0,1094,3133
682,96,0,106,303
683,248,0,480,1398
684,361,0,0,0
685,779,0,0,0
686,145,0,225,653
687,622,0,16,44
688,392,0,0,0
689,361,0,89,267
690,164,0,111,323
691,39,0,50,144
692,752,0,86,259
693,406,0,0,0
694,348,0,90,271
695,343,0,206,592
696,38,0,0,0
697,203,0,82,241
698,235,0,80,236
699,505,0,10,26
700,395,0,89,261
701,753,0,291,853
702,156,0,115,336
703,125,0,0,0
704,512,0,0,0
705,647,0,2277,6542
706,332,0,131,381
707,222,0,0,0
708,779,0,79,237
709,281,0,0,0
710,87,0,264,769
711,420,0,0,0
712,389,0,17,45
713,83,0,234,684
714,531,0,117,341
715,297,0,110,327
716,485,0,104,299
