番号,REGゲーム数,REG枚数,ATゲーム数,AT枚数
1609,48,0,0,0
1610,67,0,0,0
1611,313,0,0,0
1612,128,0,217,620
1613,243,0,120,348
1614,637,0,83,238
1615,204,0,80,229
1616,752,0,399,1169
1617,241,0,0,0
1618,298,0,223,649
1619,698,0,84,253
1620,627,0,122,354
1621,581,0,11,29
1622,644,0,63,179
1623,752,0,82,245
1624,491,0,83,238
1625,247,0,371,1081
1626,187,0,0,0
1627,752,0,80,241
1628,50,0,313,907
1629,106,0,81,235
1630,569,0,0,0
1631,109,0,41,119
1632,657,0,0,0
1633,48,0,88,260
1634,557,0,0,0
1635,159,0,0,0
1636,603,0,82,240
1637,251,0,164,477
1638,263,0,17,47
1639,293,0,0,0
1640,237,0,0,0
1641,752,0,303,893
1642,752,0,117,347
1643,271,0,146,422
1644,752,0,79,237
1645,749,0,186,530
1646,87,0,0,0
1647,752,0,122,359
1648,253,0,88,258
1649,51,0,0,0
1650,96,0,66,188
1651,421,0,54,158
1652,66,0,0,0
1653,323,0,0,0
1654,220,0,23,65
1655,106,0,75,214
1656,340,0,93,262
1657,174,0,0,0
1658,312,0,0,0
1659,95,0,0,0
1660,408,0,280,794
1661,752,0,197,581
1662,754,0,84,251
1663,752,0,288,838
1664,752,0,518,1494
1665,51,0,0,0
1666,356,0,0,0
1667,246,0,59,171
1668,353,0,105,306
1669,147,0,401,1165
1670,316,0,0,0
1671,140,0,0,0
1672,48,0,180,521
1673,752,0,795,2268
1674,128,0,288,835
1675,298,0,0,0
1676,324,0,0,0
1677,98,0,278,805
1678,202,0,125,359
1679,181,0,104,303
1680,236,0,85,244
1681,631,0,187,536
1682,95,0,136,392
1683,99,0,0,0
1684,95,0,0,0
1685,756,0,212,623
1686,308,0,76,218
1687,752,0,1102,3165
1688,95,0,0,0
1689,604,0,264,771
1690,93,0,131,378
1691,173,0,0,0
1692,77,0,85,244
1693,46,0,313,911
1694,406,0,193,558
1695,166,0,0,0
1696,106,0,18,50
1697,98,0,205,595
1698,754,0,342,1006
1699,752,0,94,277
1700,257,0,117,342
1701,357,0,0,0
1702,275,0,48,139
1703,216,0,0,0
1704,327,0,0,0
1705,218,0,85,246
1706,248,0,47,135
1707,95,0,16,43
1708,96,0,0,0
1709,115,0,46,133
1710,138,0,21,58
1711,207,0,0,0
1712,473,0,147,425
1713,354,0,0,0
1714,474,0,0,0
1715,179,0,0,0
1716,171,0,82,246
1717,83,0,0,0
1718,367,0,72,215
1719,488,0,118,345
1720,244,0,202,579
1721,237,0,0,0
1722,752,0,1314,3819
1723,602,0,136,393
1724,230,0,0,0
1725,237,0,385,1117
1726,385,0,2263,6562
1727,403,0,1356,3952
1728,240,0,483,1399
1729,557,0,0,0
1730,246,0,83,238
1731,753,0,1250,3555
1732,576,0,351,1014
1733,732,0,373,1078
1734,223,0,0,0
1735,739,0,790,2229
1736,31,0,1290,3681
1737,136,0,0,0
1738,290,0,110,315
1739,295,0,115,335
1740,136,0,0,0
1741,354,0,113,331
1742,124,0,182,519
1743,368,0,0,0
1744,129,0,184,537
1745,140,0,0,0
1746,106,0,0,0
1747,556,0,0,0
1748,410,0,53,155
1749,289,0,15,40
1750,422,0,88,263
1751,54,0,179,518
1752,99,0,80,230
1753,129,0,76,217
1754,96,0,0,0
1755,351,0,187,549
1756,242,0,0,0
1757,98,0,112,328
1758,752,0,168,498
1759,97,0,65,185
1760,156,0,236,685
1761,622,0,2055,5877
1762,753,0,85,256
1763,639,0,74,214
1764,91,0,0,0
1765,753,0,193,571
1766,583,0,495,1442
1767,752,0,85,254
1768,754,0,111,327
1769,357,0,0,0
1770,133,0,0,0
1771,752,0,339,991
1772,165,0,1723,4931
1773,54,0,113,322
1774,70,0,143,415
1775,49,0,224,644
1776,179,0,20,56
1777,161,0,50,145
1778,367,0,21,59
1779,84,0,362,1045
1780,83,0,90,256
1781,98,0,86,252
1782,228,0,0,0
1783,141,0,80,229
1784,95,0,0,0
1785,100,0,0,0
1786,752,0,104,306
1787,108,0,113,327
1788,186,0,275,800
1789,126,0,478,1381
1790,89,0,0,0
1791,98,0,57,166
1792,85,0,0,0
1793,556,0,153,443
1794,50,0,138,397
1795,754,0,82,246
1796,175,0,718,2063
1797,96,0,0,0
1798,95,0,405,1183
1799,162,0,53,153
1800,625,0,0,0
1801,567,0,0,0
1802,347,0,20,54
1803,489,0,115,335
1804,39,0,206,597
1805,73,0,0,0
1806,373,0,87,261
1807,105,0,52,150
1808,293,0,1078,3125
1809,752,0,81,243
1810,630,0,112,324
1811,183,0,20,56
1812,313,0,0,0
1813,218,0,14,38
1814,99,0,113,328
1815,636,0,232,676
1816,244,0,0,0
1817,752,0,80,240
1818,752,0,84,251
1819,179,0,912,2623
1820,619,0,0,0
1821,485,0,0,0
1822,752,0,161,481
1823,141,0,0,0
1824,754,0,102,303
1825,752,0,85,254
1826,631,0,80,231
1827,175,0,0,0
1828,551,0,431,1248
1829,89,0,276,799
1830,753,0,78,235
1831,136,0,54,158
1832,94,0,1048,3017
1833,97,0,137,401
1834,293,0,159,463
1835,110,0,140,409
1836,235,0,0,0
1837,337,0,22,60
1838,110,0,0,0
1839,39,0,0,0
1840,73,0,0,0
1841,78,0,0,0
1842,684,0,0,0
1843,222,0,0,0
1844,97,0,96,273
1845,131,0,215,624
1846,92,0,79,231
1847,579,0,0,0
1848,541,0,156,453
1849,654,0,108,314
1850,98,0,18,49
1851,187,0,0,0
1852,272,0,83,250
1853,129,0,19,57
1854,99,0,281,812
1855,753,0,180,528
1856,96,0,19,53
1857,48,0,80,230
1858,147,0,79,230
1859,264,0,0,0
1860,96,0,13,35
1861,729,0,1280,3732
1862,301,0,0,0
1863,295,0,303,876
1864,31,0,0,0
1865,53,0,148,433
1866,752,0,230,680
1867,194,0,0,0
1868,154,0,0,0
1869,425,0,0,0
1870,33,0,136,392
1871,194,0,0,0
1872,247,0,0,0
1873,96,0,991,2841
1874,229,0,397,1158
1875,243,0,0,0
1876,753,0,91,273
1877,140,0,0,0
1878,307,0,208,610
1879,86,0,154,449
1880,130,0,56,163
1881,272,0,55,160
1882,69,0,135,390
1883,159,0,134,388
1884,52,0,596,1745
1885,658,0,0,0
1886,752,0,382,1118
1887,148,0,0,0
1888,613,0,0,0
1889,335,0,117,336
1890,755,0,106,312
1891,755,0,191,561
1892,97,0,881,2536
1893,753,0,157,467
1894,752,0,84,252
1895,295,0,326,970
1896,477,0,84,241
1897,83,0,0,0
1898,132,0,91,274
1899,752,0,199,591
1900,39,0,84,241
1901,752,0,468,1377
1902,306,0,75,221
1903,273,0,0,0
1904,752,0,79,236
1905,82,0,0,0
1906,296,0,962,2787
1907,97,0,16,42
1908,106,0,93,267
1909,517,0,428,1241
1910,98,0,300,867
1911,239,0,354,1030
1912,230,0,92,258
1913,96,0,60,179
1914,97,0,994,2884
1915,752,0,83,248
1916,540,0,111,321
1917,473,0,54,157
1918,201,0,0,0
1919,87,0,126,372
1920,725,0,109,200
1921,752,0,184,539
1922,342,0,0,0
1923,754,0,140,416
1924,90,0,276,807
1925,236,0,117,339
1926,226,0,0,0
1927,409,0,0,0
1928,628,0,50,145
1929,292,0,282,813
1930,156,0,83,243
1931,521,0,99,281
1932,752,0,85,256
1933,77,0,104,300
1934,228,0,180,520
1935,216,0,140,408
1936,343,0,0,0
1937,99,0,84,247
1938,110,0,0,0
1939,315,0,0,0
1940,188,0,78,224
1941,38,0,0,0
1942,379,0,116,338
1943,752,0,121,359
1944,181,0,18,48
1945,97,0,0,0
1946,391,0,0,0
1947,424,0,0,0
1948,335,0,15,39
1949,284,0,0,0
1950,752,0,625,1834
1951,335,0,0,0
1952,213,0,207,600
1953,752,0,83,250
1954,232,0,667,1912
1955,105,0,94,266
1956,388,0,0,0
1957,499,0,16,42
1958,204,0,0,0
1959,433,0,140,407
1960,83,0,0,0
1961,493,0,0,0
1962,752,0,211,624
1963,241,0,73,210
1964,79,0,109,317
1965,241,0,287,823
1966,754,0,181,533
1967,98,0,0,0
1968,106,0,0,0
1969,292,0,355,1029
1970,315,0,1302,3711
1971,561,0,0,0
1972,235,0,52,146
1973,148,0,102,302
1974,96,0,350,1020
1975,56,0,46,134
1976,752,0,247,720
1977,65,0,0,0
1978,38,0,0,0
1979,96,0,88,259
1980,246,0,55,159
1981,492,0,240,691
1982,365,0,90,266
1983,753,0,200,569
1984,533,0,0,0
1985,371,0,25,69
1986,748,0,186,542
1987,105,0,0,0
1988,139,0,80,226
1989,436,0,0,0
1990,138,0,0,0
1991,753,0,519,1514
1992,91,0,25,71
1993,56,0,13,33
1994,252,0,14,37
1995,108,0,0,0
1996,196,0,121,352
1997,752,0,87,262
1998,161,0,0,0
1999,280,0,200,591
2000,752,0,223,654
2001,161,0,317,924
2002,310,0,0,0
2003,221,0,170,496
2004,752,0,85,256
2005,752,0,81,244
2006,178,0,82,242
2007,131,0,74,212
2008,99,0,87,257
2009,268,0,107,312
2010,177,0,265,766
2011,752,0,93,279
2012,776,0,45,129
2013,752,0,178,525
2014,106,0,0,0
2015,47,0,124,356
2016,752,0,114,337
2017,97,0,348,1007
2018,83,0,255,735
2019,80,0,91,267
2020,47,0,112,325
2021,404,0,0,0
2022,660,0,0,0
2023,752,0,348,1026
2024,337,0,191,553
2025,96,0,426,1231
2026,591,0,0,0
2027,407,0,106,308
2028,296,0,157,460
2029,752,0,200,588
2030,138,0,323,945
2031,232,0,166,482
2032,167,0,0,0
2033,195,0,0,0
2034,507,0,136,387
2035,73,0,78,222
2036,752,0,86,259
2037,153,0,266,772
2038,195,0,0,0
2039,507,0,136,387
2040,752,0,86,259
2041,153,0,266,772
2042,445,0,22,61
2043,242,0,86,254
2044,193,0,53,150
2045,398,0,0,0
2046,752,0,338,998
2047,191,0,188,545
2048,66,0,118,344
2049,177,0,111,328
2050,99,0,137,397
2051,390,0,197,571
2052,607,0,0,0
2053,96,0,24,68
2054,546,0,399,1157
2055,370,0,214,618
2056,623,0,0,0
2057,307,0,0,0
2058,98,0,0,0
2059,752,0,164,482
2060,547,0,421,1223
2061,253,0,675,1900
2062,378,0,88,253
